age,T010101,T010102,T010201,T010301,T010401,T010501,T020101,T020102,T020103,T020104,T020201,T020202,T020203,T020301,T020302,T020303,T020401,T020402,T020501,T020502,T020681,T020701,T020801,T020901,T020902,T020903,T020904,T020905,T030101,T030102,T030103,T030104,T030105,T030108,T030109,T030110,T030111,T030112,T030186,T030201,T030202,T030203,T030204,T030301,T030302,T030303,T030401,T030402,T030403,T030404,T030405,T030501,T030502,T030503,T030504,T040101,T040102,T040103,T040104,T040105,T040108,T040109,T040110,T040111,T040112,T040186,T040201,T040202,T040203,T040204,T040301,T040302,T040303,T040401,T040402,T040403,T040404,T040405,T040501,T040502,T040503,T040504,T040505,T040506,T040507,T040508,T049999,T050101,T050102,T050103,T050189,T050201,T050202,T050203,T050204,T050289,T050301,T050302,T050303,T050304,T050389,T050403,T050404,T050405,T050481,T060101,T060102,T060103,T060104,T060201,T060202,T060203,T060301,T060302,T060303,T060401,T060402,T060403,T070101,T070102,T070103,T070104,T070105,T070201,T070301,T080101,T080102,T080201,T080202,T080203,T080301,T080302,T080401,T080402,T080403,T080501,T080502,T080601,T080602,T080701,T080702,T080801,T090101,T090102,T090103,T090104,T090201,T090202,T090301,T090302,T090401,T090402,T090501,T090502,T100101,T100102,T100103,T100201,T100381,T100383,T100401,T110101,T110281,T120101,T120201,T120202,T120301,T120302,T120303,T120304,T120305,T120306,T120307,T120308,T120309,T120310,T120311,T120312,T120313,T120401,T120402,T120403,T120404,T120405,T120501,T120502,T120503,T120504,T130101,T130102,T130103,T130104,T130105,T130106,T130107,T130108,T130109,T130110,T130111,T130112,T130113,T130114,T130115,T130116,T130117,T130118,T130119,T130120,T130121,T130122,T130123,T130124,T130125,T130126,T130127,T130128,T130129,T130130,T130131,T130132,T130133,T130134,T130135,T130136,T130201,T130202,T130203,T130204,T130205,T130206,T130207,T130208,T130209,T130210,T130211,T130212,T130213,T130214,T130215,T130216,T130217,T130218,T130219,T130220,T130221,T130222,T130223,T130224,T130225,T130226,T130227,T130228,T130229,T130230,T130231,T130232,T130301,T130302,T130401,T130402,T140101,T140102,T140103,T140104,T140105,T150101,T150102,T150103,T150104,T150105,T150106,T150201,T150202,T150203,T150204,T150301,T150302,T150401,T150402,T150501,T150601,T150602,T160101,T160102,T160103,T160104,T160105,T160106,T160107,T160108,T180101,T180280,T180381,T180382,T180481,T180482,T180501,T180502,T180601,T180682,T180701,T180782,T180801,T180802,T180803,T180804,T180805,T180806,T180807,T180901,T180902,T180903,T180904,T180905,T181002,T181081,T181101,T181201,T181202,T181204,T181283,T181301,T181302,T181401,T181501,T181601,T181801
15,607,2,50,4,0,0,8,7,0,0,11,0,3,0,0,0,5,0,0,0,8,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,2,87,1,1,0,0,1,0,30,0,0,1,0,0,1,0,2,15,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,37,2,0,18,0,139,0,1,5,68,29,7,0,0,15,0,0,1,1,0,0,0,0,0,0,0,1,9,0,0,2,1,0,1,0,0,2,2,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,1,4,6,3,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,19,0,0,0,0,0,0,5,1,1,0,1,0,2,0,7,0,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,1,1,6,0,1,1,0,0
16,590,6,44,2,0,0,14,3,1,1,10,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,140,0,2,0,0,0,0,37,3,0,1,0,0,4,0,2,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,35,4,1,20,0,118,0,0,4,83,17,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,3,1,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,3,2,1,1,0,2,0,11,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,1,4,5,1,1,1,0,0
17,582,3,52,1,0,0,7,2,0,0,7,0,1,0,0,0,1,0,1,0,4,0,1,0,4,0,1,0,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,1,0,0,43,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,116,2,1,0,2,6,0,53,0,0,0,0,0,2,0,1,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,62,0,39,13,1,31,0,97,0,1,3,66,23,2,0,0,11,0,0,4,1,0,0,0,2,0,0,0,1,4,1,2,0,0,0,3,0,0,2,3,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,2,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,6,0,0,0,0,0,0,0,0,3,0,1,6,2,0,9,2,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,2,1,1,3,1,2,1,0,0
18,597,4,43,0,0,0,12,9,0,0,14,0,3,3,0,0,0,3,0,0,7,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,1,0,0,0,0,0,1,0,6,0,9,0,0,0,0,49,0,1,0,3,0,0,63,3,0,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,56,4,1,15,0,116,1,0,3,82,32,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,2,0,1,1,1,7,0,5,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,1,0,5,4,0,0,0,0,0
19,594,6,50,3,1,0,17,6,0,0,17,0,3,0,0,0,1,3,2,0,6,6,2,0,7,0,2,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,109,6,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,2,34,0,0,0,0,0,0,61,0,0,1,0,0,5,0,3,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,1,25,7,1,14,0,109,0,1,0,69,32,8,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2,0,0,6,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,3,6,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,1,0,0,3,13,0,4,1,3,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,4,1,0,5,6,1,2,0,0,0
20,604,5,36,0,0,0,19,6,2,1,21,0,3,2,0,0,0,7,2,0,5,1,5,0,4,1,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,107,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,29,0,0,0,0,0,0,86,0,0,0,0,0,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,39,6,0,29,0,125,0,0,2,50,22,5,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,2,1,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,0,0,3,1,0,0,2,9,0,7,1,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,3,2,0,0,0,0,0
21,589,6,52,0,0,0,33,4,2,2,21,1,2,0,0,0,0,0,3,0,10,0,0,0,5,0,0,0,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,154,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,1,0,0,0,1,0,32,2,0,0,0,0,3,1,2,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,34,9,1,25,0,132,0,0,5,33,26,2,0,0,13,1,2,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,7,0,0,0,0,0,0,0,2,0,1,0,2,11,0,1,1,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,2,1,1,0,0,1,0,0
22,595,8,44,2,0,0,22,8,5,1,27,0,3,1,0,0,0,0,4,0,5,0,0,0,4,1,1,0,2,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,168,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,11,1,0,0,0,0,0,24,0,0,1,0,0,10,0,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,62,3,0,23,0,121,0,0,5,48,18,2,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,1,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,4,16,0,3,0,4,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,0,3,1,2,0,1,0,0,0
23,559,3,46,2,1,0,24,12,0,1,24,0,4,0,0,0,1,0,0,0,11,0,0,1,6,0,1,0,6,0,2,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,172,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,17,0,0,0,0,0,0,42,0,0,0,0,0,5,0,3,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,39,3,0,12,0,124,0,3,2,53,30,1,0,0,9,0,3,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,2,0,0,3,18,0,2,1,3,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,6,2,5,3,2,0,1,1,0,0
24,560,4,42,6,2,0,19,8,0,1,28,0,5,4,0,0,0,0,5,0,7,3,0,0,5,0,0,0,6,0,5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,186,7,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,15,0,0,0,0,0,5,0,2,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,31,9,5,13,0,127,0,1,1,51,23,5,0,0,8,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,1,0,2,0,2,0,0,0,0,0,1,0,3,3,1,0,0,2,0,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,1,4,1,1,0,1,11,0,1,0,3,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,4,1,2,4,4,0,4,0,0,0
25,574,2,40,5,0,0,31,8,1,1,21,0,3,0,0,0,1,0,5,0,9,7,0,1,8,0,1,0,8,1,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,205,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,23,0,0,0,0,0,4,0,2,8,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,29,1,1,14,0,144,1,2,2,39,19,1,0,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,2,2,1,1,0,1,12,0,1,0,2,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,1,1,0,1,0,0
26,551,7,45,1,0,0,20,10,0,0,20,0,4,1,0,0,0,0,2,0,9,2,0,0,6,0,1,0,8,0,5,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,7,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,5,3,0,0,0,0,0,0,13,0,0,2,0,0,6,0,2,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,35,1,0,19,0,118,0,1,2,28,14,3,0,0,6,2,1,0,3,2,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,2,7,0,0,0,0,0,0,1,1,5,0,0,2,19,0,1,0,2,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11,5,0,2,3,2,1,1,1,0,0
27,567,4,51,7,0,0,22,6,2,1,29,0,8,3,0,0,0,1,3,0,8,4,2,1,6,0,1,0,15,0,14,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,200,7,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,5,0,3,10,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,33,5,0,14,0,137,0,0,1,33,11,3,0,0,7,0,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,2,3,2,0,0,2,11,0,1,0,2,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,4,0,2,2,4,0,2,0,0,0
